SHIP_ID,SHIPNAME,LENGTH,SHIPTYPE,WIDTH,FLAG,ship_type,LAT,LON,SPEED,COURSE,HEADING,DESTINATION,DWT,DATETIME,PORT,date,week_nb,port,is_parked,fromLAT,fromLON,fromTIME,DIST,delta_tau,lastLAT,lastLON
6220,PRIMA FORTUNA,82,7,13,FI,Cargo,55.99124,20.81532,95,338,337,KUNDA,3015,2016-12-18T02:55:05Z,klaipeda,2016-12-18,51,Klaipeda,0,55.99124,20.81532,2016-12-18T02:53:06Z,0,119,55.99124,20.81532
6223,MERI,105,7,18,FI,Cargo,54.79606,18.7044,123,305,305,STORD,4359,2016-12-16T15:15:07Z,gdynia,2016-12-16,51,Gdynia,0,54.79606,18.7044,2016-12-16T15:15:01Z,0,6,54.79606,18.7044
6333,BALTICO,169,8,24,SE,Tanker,54.79784,18.97246,128,304,305,ROTTERDAM,25000,2016-12-19T05:05:02Z,gdansk,2016-12-19,51,Gdańsk,0,54.79376,18.98255,2016-12-19T05:03:01Z,792.12,121,54.79784,18.97246
6338,BONITO,169,8,23,SE,Tanker,54.67387,19.80043,134,307,305,SLAGEN,25049,2016-12-16T13:57:02Z,kalingrad,2016-12-16,51,Kalingrad,0,54.66795,19.81384,2016-12-16T13:55:03Z,1087.566,119,54.67387,19.80043
6349,SUULA,139,8,21,FI,Tanker,54.45816,18.99596,138,30,26,PL GDN > SE STO,14665,2016-12-20T01:15:02Z,gdansk,2016-12-20,51,Gdańsk,0,54.45141,18.98924,2016-12-20T01:13:10Z,868.63,112,54.45816,18.99596
6500,LINDA,141,7,22,FI,Cargo,55.74594,20.81673,156,280,272,TEESPORT,11487,2016-12-16T00:17:06Z,klaipeda,2016-12-16,51,Klaipeda,0,55.74454,20.83451,2016-12-16T00:15:06Z,1127.457,120,55.74594,20.81673
23788,VTS HEL,,0,,PL,Unspecified,54.6,18.81286,0,0,0,NaN,,2016-12-19T21:59:01Z,gdansk,2016-12-19,51,Gdańsk,1,54.59999,18.81285,2016-12-19T21:57:02Z,1.287,119,54.6,18.81286
23846,VTS 2614900,0,0,0,PL,Unspecified,54.52926,18.55957,0,0,511,NaN,,2016-12-16T23:25:07Z,gdynia,2016-12-16,51,Gdynia,1,54.52926,18.55957,2016-12-16T23:23:07Z,0,120,54.52926,18.55957
24030,VTS GAOTEBORG,,0,,SE,Unspecified,57.694,12.05865,0,0,511,NaN,,2016-12-20T11:11:05Z,gothenborg,2016-12-20,51,gothenborg,1,57.69404,12.05868,2016-12-20T10:59:07Z,4.801,718,57.694,12.05865
24344,VTS BALTIYSK,,0,,RU,Unspecified,54.62998,19.88548,0,0,511,NaN,,2016-12-20T08:01:02Z,kalingrad,2016-12-20,51,Kalingrad,1,54.62998,19.88548,2016-12-20T07:59:02Z,0,120,54.62998,19.88548
